subid,tr.num,gaze_condition,correct,age,age_group,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
45,2,gaze,1,NA,3,bottle,0.07500000000000018,gaze,0.08,guess,0,0.08000000000000002,cs,0.46
8,7,gaze,0,1395,3,ball,0.07500000000000018,gaze,0.08,guess,0,0.08000000000000002,cs,0.46
13,24,gaze,0,1480,4,cookie,0.10299999999999976,gaze,0.1,guess,0,0.09000000000000002,cs,0.45
1,28,gaze,1,1813,4,chicken,0.1039999999999992,gaze,0.1,guess,0,0.08000000000000002,cs,0.46
31,7,gaze,1,1976,5,juice,0.10400000000000009,gaze,0.1,guess,0,0.08000000000000002,cs,0.46
41,20,gaze,0,NA,4,shoe,0.10499999999999954,gaze,0.1,guess,0,0.08000000000000002,cs,0.46
45,15,gaze,0,NA,3,ball,0.10599999999999987,gaze,0.11,guess,0,0.08000000000000002,cs,0.46
5,18,gaze,1,1873,5,ball,0.10599999999999987,gaze,0.11,guess,0,0.08000000000000002,cs,0.46
35,7,gaze,0,2110,5,boat,0.1070000000000002,gaze,0.11,guess,0,0.09000000000000002,cs,0.46
15,4,gaze,0,1077,2,chicken,0.10799999999999965,gaze,0.11,guess,0,0.10000000000000003,cs,0.45
3,9,gaze,0,1914,5,bottle,0.10899999999999999,gaze,0.11,guess,0,0.10000000000000003,cs,0.45
31,8,gaze,0,1976,5,bunny,0.1349999999999998,gaze,0.13,guess,0,0.11000000000000004,cs,0.44
34,21,gaze,0,2016,5,bunny,0.1349999999999998,gaze,0.13,guess,0,0.11000000000000004,cs,0.44
28,13,gaze,0,1086,2,cookie,0.13600000000000012,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
38,30,gaze,0,1933,5,cookie,0.13600000000000012,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
17,12,gaze,0,1180,3,bottle,0.13699999999999957,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
23,28,gaze,0,1971,5,chicken,0.13699999999999957,gaze,0.14,guess,0,0.13000000000000006,cs,0.42
35,1,gaze,1,2110,5,bottle,0.13699999999999957,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
41,26,gaze,0,NA,4,chicken,0.13699999999999957,gaze,0.14,guess,0,0.13000000000000006,cs,0.42
15,9,gaze,1,1077,2,juice,0.13700000000000045,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
15,3,gaze,1,1077,2,shoe,0.1379999999999999,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
27,24,gaze,0,1163,3,bottle,0.1379999999999999,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
12,13,gaze,0,1406,3,ball,0.13899999999999935,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
23,24,gaze,1,1971,5,juice,0.14100000000000001,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
34,22,gaze,1,2016,5,bottle,0.14199999999999946,gaze,0.14,guess,0,0.11000000000000004,cs,0.44
16,12,gaze,0,1741,4,bottle,0.14200000000000035,gaze,0.14,guess,0,0.12000000000000005,cs,0.43
25,9,gaze,1,1929,5,chicken,0.14200000000000035,gaze,0.14,guess,0,0.11000000000000004,cs,0.44
16,3,gaze,1,1741,4,bunny,0.16800000000000015,gaze,0.17,guess,0,0.11000000000000004,cs,0.44
41,31,gaze,0,NA,4,bunny,0.16800000000000015,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
44,6,gaze,1,NA,4,bunny,0.1689999999999996,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
47,22,gaze,0,NA,4,cookie,0.1689999999999996,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
45,8,gaze,0,NA,3,cookie,0.16999999999999993,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
31,2,gaze,1,1976,5,shoe,0.17099999999999937,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
33,18,gaze,0,1637,4,bottle,0.17100000000000026,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
35,11,gaze,0,2110,5,juice,0.17100000000000026,gaze,0.17,guess,0,0.13000000000000006,cs,0.43
1,23,gaze,1,1813,4,ball,0.1719999999999997,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
25,13,gaze,0,1929,5,shoe,0.17300000000000004,gaze,0.17,guess,0,0.13000000000000006,cs,0.43
12,1,gaze,0,1406,3,chicken,0.1739999999999995,gaze,0.17,guess,0,0.13000000000000006,cs,0.43
13,25,gaze,1,1480,4,juice,0.17400000000000038,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
15,11,gaze,0,1077,2,boat,0.17400000000000038,gaze,0.17,guess,0,0.13000000000000006,cs,0.43
28,3,gaze,1,1086,2,boat,0.17499999999999982,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
44,8,gaze,1,NA,4,juice,0.17499999999999982,gaze,0.17,guess,0,0.12000000000000005,cs,0.44
38,32,gaze,1,1933,5,ball,0.1750000000000007,gaze,0.18,guess,0,0.11000000000000004,cs,0.45
6,17,gaze,0,1507,4,ball,0.1750000000000007,gaze,0.18,guess,0,0.12000000000000005,cs,0.44
8,2,gaze,0,1395,3,chicken,0.1750000000000007,gaze,0.18,guess,0,0.12000000000000005,cs,0.44
17,13,gaze,0,1180,3,shoe,0.20000000000000018,gaze,0.2,guess,0,0.13000000000000006,cs,0.43
21,20,gaze,1,1835,5,shoe,0.20000000000000018,gaze,0.2,guess,0,0.12000000000000005,cs,0.44
9,12,gaze,0,1955,5,cookie,0.20199999999999996,gaze,0.2,guess,0,0.12000000000000005,cs,0.44
1,20,gaze,1,1813,4,cookie,0.2030000000000003,gaze,0.2,guess,0,0.12000000000000005,cs,0.44
32,3,gaze,0,1751,4,bottle,0.2030000000000003,gaze,0.2,guess,0,0.12000000000000005,cs,0.44
19,30,gaze,1,1664,4,chicken,0.20399999999999974,gaze,0.2,guess,0,0.12000000000000005,cs,0.44
4,28,gaze,1,1804,4,chicken,0.20399999999999974,gaze,0.2,guess,0,0.11000000000000004,cs,0.45
4,18,gaze,0,1804,4,bottle,0.20500000000000007,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
5,19,gaze,0,1873,5,bottle,0.20500000000000007,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
23,32,gaze,0,1971,5,shoe,0.2060000000000004,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
25,5,gaze,0,1929,5,shoe,0.2060000000000004,gaze,0.21,guess,0,0.13000000000000006,cs,0.43
38,19,gaze,1,1933,5,boat,0.20699999999999985,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
13,19,gaze,1,1480,4,boat,0.20800000000000018,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
44,3,gaze,0,NA,4,cookie,0.20899999999999963,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
25,10,gaze,1,1929,5,bottle,0.20900000000000052,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
26,14,gaze,0,1789,4,chicken,0.20900000000000052,gaze,0.21,guess,0,0.12000000000000005,cs,0.44
42,5,gaze,1,NA,3,shoe,0.23299999999999965,gaze,0.23,guess,0,0.12000000000000005,cs,0.44
9,8,gaze,0,1955,5,shoe,0.23299999999999965,gaze,0.23,guess,0,0.12000000000000005,cs,0.44
32,10,gaze,1,1751,4,bunny,0.23499999999999943,gaze,0.23,guess,0,0.11000000000000004,cs,0.45
1,29,gaze,0,1813,4,bunny,0.23500000000000032,gaze,0.24,guess,0,0.12000000000000005,cs,0.44
47,31,gaze,1,NA,4,chicken,0.2369999999999992,gaze,0.24,guess,0,0.11000000000000004,cs,0.45
15,2,gaze,0,1077,2,bottle,0.2370000000000001,gaze,0.24,guess,0,0.12000000000000005,cs,0.44
17,5,gaze,1,1180,3,juice,0.2370000000000001,gaze,0.24,guess,0,0.11000000000000004,cs,0.45
44,12,gaze,1,NA,4,shoe,0.23799999999999955,gaze,0.24,guess,0,0.11000000000000004,cs,0.45
16,16,gaze,1,1741,4,ball,0.23899999999999988,gaze,0.24,guess,0,0.10000000000000003,cs,0.46
25,2,gaze,0,1929,5,ball,0.23899999999999988,gaze,0.24,guess,0,0.11000000000000004,cs,0.45
35,6,gaze,1,2110,5,ball,0.2400000000000002,gaze,0.24,guess,0,0.10000000000000003,cs,0.46
9,6,gaze,1,1955,5,chicken,0.24099999999999966,gaze,0.24,guess,0,0.09000000000000008,cs,0.47
2,10,gaze,1,1873,5,juice,0.24100000000000055,gaze,0.24,guess,0,0.09000000000000008,cs,0.47
35,13,gaze,1,2110,5,juice,0.24100000000000055,gaze,0.24,guess,0,0.08999999999999997,cs,0.48
25,14,gaze,1,1929,5,ball,0.242,gaze,0.24,guess,0,0.08999999999999997,cs,0.48
4,20,gaze,0,1804,4,boat,0.242,gaze,0.24,guess,0,0.08999999999999997,cs,0.48
6,27,gaze,0,1507,4,ball,0.242,gaze,0.24,guess,0,0.09999999999999998,cs,0.47
31,3,gaze,0,1976,5,cookie,0.24299999999999944,gaze,0.24,guess,0,0.09999999999999998,cs,0.47
36,5,gaze,1,1277,3,cookie,0.24299999999999944,gaze,0.24,guess,0,0.09999999999999998,cs,0.47
3,11,gaze,0,1914,5,juice,0.24300000000000033,gaze,0.24,guess,0,0.09999999999999998,cs,0.47
1,18,gaze,0,1813,4,bunny,0.2679999999999998,gaze,0.27,guess,0,0.10999999999999993,cs,0.46
4,29,gaze,1,1804,4,bunny,0.2679999999999998,gaze,0.27,guess,0,0.09999999999999998,cs,0.47
44,9,gaze,0,NA,4,bunny,0.2679999999999998,gaze,0.27,guess,0,0.10999999999999993,cs,0.46
14,26,gaze,1,1843,5,cookie,0.26900000000000013,gaze,0.27,guess,0,0.09999999999999998,cs,0.47
1,22,gaze,0,1813,4,bottle,0.2699999999999996,gaze,0.27,guess,0,0.10999999999999993,cs,0.46
1,25,gaze,0,1813,4,chicken,0.2699999999999996,gaze,0.27,guess,0,0.10999999999999993,cs,0.46
4,17,gaze,0,1804,4,cookie,0.27000000000000046,gaze,0.27,guess,0,0.11999999999999994,cs,0.45
35,2,gaze,1,2110,5,chicken,0.274,gaze,0.27,guess,0,0.10999999999999993,cs,0.46
44,2,gaze,0,NA,4,boat,0.274,gaze,0.27,guess,0,0.10999999999999993,cs,0.46
10,18,gaze,1,1373,3,ball,0.27500000000000036,gaze,0.28,guess,0,0.10999999999999993,cs,0.46
19,18,gaze,1,1664,4,ball,0.27500000000000036,gaze,0.28,guess,0,0.09999999999999998,cs,0.47
25,11,gaze,1,1929,5,juice,0.2759999999999998,gaze,0.28,guess,0,0.09999999999999998,cs,0.47
26,10,gaze,1,1789,4,juice,0.2759999999999998,gaze,0.28,guess,0,0.08999999999999997,cs,0.48
17,10,gaze,1,1180,3,bunny,0.3019999999999996,gaze,0.3,guess,0,0.08999999999999997,cs,0.48
23,23,gaze,1,1971,5,bunny,0.3019999999999996,gaze,0.3,guess,0,0.07999999999999996,cs,0.49
26,5,gaze,0,1789,4,bunny,0.3019999999999996,gaze,0.3,guess,0,0.08999999999999997,cs,0.48
44,15,gaze,0,NA,4,cookie,0.3020000000000005,gaze,0.3,guess,0,0.08999999999999997,cs,0.48
23,19,gaze,0,1971,5,cookie,0.30299999999999994,gaze,0.3,guess,0,0.09999999999999998,cs,0.47
23,20,gaze,1,1971,5,cookie,0.30299999999999994,gaze,0.3,guess,0,0.08999999999999997,cs,0.48
26,15,gaze,1,1789,4,cookie,0.30299999999999994,gaze,0.3,guess,0,0.08999999999999997,cs,0.48
41,28,gaze,1,NA,4,cookie,0.30299999999999994,gaze,0.3,guess,0,0.07999999999999996,cs,0.49
47,17,gaze,1,NA,4,bottle,0.30299999999999994,gaze,0.3,guess,0,0.07999999999999996,cs,0.49
2,4,gaze,1,1873,5,bottle,0.3039999999999994,gaze,0.3,guess,0,0.06999999999999995,cs,0.5
23,29,gaze,1,1971,5,chicken,0.3039999999999994,gaze,0.3,guess,0,0.06999999999999995,cs,0.5
