subid,tr.num,condition_long,correct,target_image,RT,condition,rt,guess,guess_num,ucl_bound,ewma_param,param_value
33,35,gaze_clear,1,bunny,0.33499999999999996,gaze_clear,0.34,response,1,0.010000000000000009,cs,0.59
15,26,gaze_clear,1,cookie,0.3359999999999994,gaze_clear,0.34,response,1,0.020000000000000018,cs,0.6
20,63,gaze_clear,1,cookie,0.3359999999999994,gaze_clear,0.34,response,1,0.010000000000000009,cs,0.6
21,42,gaze_clear,1,juice,0.33699999999999974,gaze_clear,0.34,response,1,0.020000000000000018,cs,0.61
33,36,gaze_clear,1,bottle,0.33699999999999974,gaze_clear,0.34,response,1,0.020000000000000018,cs,0.61
26,47,gaze_clear,0,shoe,0.3380000000000001,gaze_clear,0.34,response,1,0.010000000000000009,cs,0.6
7,1,gaze_clear,1,ball,0.3390000000000004,gaze_clear,0.34,response,1,0.020000000000000018,cs,0.61
21,45,gaze_clear,1,boat,0.3410000000000002,gaze_clear,0.34,response,1,0.020000000000000018,cs,0.61
13,24,gaze_clear,1,boat,0.34199999999999964,gaze_clear,0.34,response,1,0.020000000000000018,cs,0.61
5,11,gaze_clear,1,boat,0.34199999999999964,gaze_clear,0.34,response,1,0.030000000000000027,cs,0.62
11,18,gaze_clear,1,bottle,0.3420000000000005,gaze_clear,0.34,response,1,0.030000000000000027,cs,0.62
9,59,gaze_clear,1,shoe,0.367,gaze_clear,0.37,response,1,0.040000000000000036,cs,0.63
5,15,gaze_clear,1,bunny,0.36799999999999944,gaze_clear,0.37,response,1,0.040000000000000036,cs,0.63
8,6,gaze_clear,1,bunny,0.36799999999999944,gaze_clear,0.37,response,1,0.040000000000000036,cs,0.63
10,49,gaze_clear,1,cookie,0.3689999999999998,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
27,60,gaze_clear,1,cookie,0.3689999999999998,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
28,52,gaze_clear,1,cookie,0.3689999999999998,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
31,51,gaze_clear,1,bunny,0.3689999999999998,gaze_clear,0.37,response,1,0.06000000000000005,cs,0.65
15,24,gaze_clear,0,chicken,0.3699999999999992,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
12,43,gaze_clear,0,bottle,0.3700000000000001,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
9,51,gaze_clear,1,bottle,0.3700000000000001,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
8,1,gaze_clear,1,ball,0.3719999999999999,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
34,21,gaze_clear,1,shoe,0.3730000000000002,gaze_clear,0.37,response,1,0.06000000000000005,cs,0.65
7,3,gaze_clear,0,juice,0.37399999999999967,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
31,54,gaze_clear,1,boat,0.37400000000000055,gaze_clear,0.37,response,1,0.050000000000000044,cs,0.64
12,48,gaze_clear,1,juice,0.375,gaze_clear,0.38,response,1,0.06000000000000005,cs,0.65
14,36,gaze_clear,1,juice,0.375,gaze_clear,0.38,response,1,0.06000000000000005,cs,0.65
24,39,gaze_clear,1,juice,0.375,gaze_clear,0.38,response,1,0.06000000000000005,cs,0.65
10,52,gaze_clear,1,shoe,0.40000000000000036,gaze_clear,0.4,response,1,0.07000000000000006,cs,0.66
19,15,gaze_clear,1,bunny,0.4009999999999998,gaze_clear,0.4,response,1,0.07000000000000006,cs,0.66
6,7,gaze_clear,1,bunny,0.4009999999999998,gaze_clear,0.4,response,1,0.07000000000000006,cs,0.66
9,62,gaze_clear,1,bunny,0.40199999999999925,gaze_clear,0.4,response,1,0.07000000000000006,cs,0.67
28,49,gaze_clear,1,bunny,0.40200000000000014,gaze_clear,0.4,response,1,0.07000000000000006,cs,0.67
3,23,gaze_clear,1,cookie,0.4029999999999996,gaze_clear,0.4,response,1,0.07000000000000006,cs,0.67
6,16,gaze_clear,1,chicken,0.4039999999999999,gaze_clear,0.4,response,1,0.08000000000000007,cs,0.68
11,27,gaze_clear,1,bottle,0.40500000000000025,gaze_clear,0.41,response,1,0.08000000000000007,cs,0.68
22,17,gaze_clear,1,shoe,0.40500000000000025,gaze_clear,0.41,response,1,0.08000000000000007,cs,0.68
21,47,gaze_clear,1,ball,0.4059999999999997,gaze_clear,0.41,response,1,0.08999999999999997,cs,0.69
24,40,gaze_clear,1,ball,0.4060000000000006,gaze_clear,0.41,response,1,0.08999999999999997,cs,0.69
18,6,gaze_clear,1,boat,0.4079999999999995,gaze_clear,0.41,response,1,0.08999999999999997,cs,0.69
33,46,gaze_clear,1,cookie,0.4089999999999998,gaze_clear,0.41,response,1,0.09999999999999998,cs,0.7
34,20,gaze_clear,0,bunny,0.43400000000000016,gaze_clear,0.43,response,1,0.08999999999999997,cs,0.69
10,60,gaze_clear,1,bunny,0.4349999999999996,gaze_clear,0.43,response,1,0.08999999999999997,cs,0.69
21,34,gaze_clear,1,bunny,0.4349999999999996,gaze_clear,0.43,response,1,0.09999999999999998,cs,0.7
24,47,gaze_clear,0,bunny,0.4349999999999996,gaze_clear,0.43,response,1,0.08999999999999997,cs,0.69
27,59,gaze_clear,1,cookie,0.43599999999999994,gaze_clear,0.44,response,1,0.08999999999999997,cs,0.69
34,31,gaze_clear,1,cookie,0.43599999999999994,gaze_clear,0.44,response,1,0.08999999999999997,cs,0.69
16,29,gaze_clear,0,chicken,0.4369999999999994,gaze_clear,0.44,response,1,0.08999999999999997,cs,0.69
22,19,gaze_clear,0,chicken,0.4369999999999994,gaze_clear,0.44,response,1,0.08000000000000007,cs,0.68
15,22,gaze_clear,1,shoe,0.4379999999999997,gaze_clear,0.44,response,1,0.08000000000000007,cs,0.68
33,48,gaze_clear,1,ball,0.43900000000000006,gaze_clear,0.44,response,1,0.08999999999999997,cs,0.69
10,62,gaze_clear,1,chicken,0.4399999999999995,gaze_clear,0.44,response,1,0.08999999999999997,cs,0.69
9,54,gaze_clear,1,chicken,0.4399999999999995,gaze_clear,0.44,response,1,0.08999999999999997,cs,0.69
