stimulus_name,stimulus,stimulus_type,order_age,trial_num_exp,order_name
gr_dr_pifo_nonoise_hey,4e3708ecc837d0402fc0c92e08b4cdbb_1920x1080,Composite,adult,15,gaze_nogaze_gr_ol
gr_sa_pifo_nonoise_look,0446372736596e319a476ac69792404a_1920x1080,Composite,adult,16,gaze_nogaze_gr_ol
ol_sa_bottle_nonoise_look,f242c27e12c6122eeb7c89a3fdc494c5_1920x1080,Composite,adult,16,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_hey,4dc959aee941714b32efe82a7aa50d34_1920x1080,Composite,adult,17,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_hey,4c49c3ab8fe1804e1cd9b91efa41c7a5_1920x1080,Composite,adult,18,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_look,0191465a069c6b6c933fc7ec01416490_1920x1080,Composite,adult,19,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_hey,40d023ab05e279823308100db12f1666_1920x1080,Composite,adult,20,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_look,c93bc36c2bb0779dd49079714b434e19_1920x1080,Composite,adult,21,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_look,60d3bcaab924f482911e962134ca4523_1920x1080,Composite,adult,22,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_hey,79009c0330896e7ea78df77dcc89032e_1920x1080,Composite,adult,23,gaze_nogaze_gr_ol
ol_sa_bosa_nonoise_look,97ae0aa8c27252de6bf37b641d5bc9c2_1920x1080,Composite,adult,24,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_hey,5cc5c642d3a416169bc0a265eebeb1d7_1920x1080,Composite,adult,25,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_hey,1e0e78cbd9420963b3e859092f37c48c_1920x1080,Composite,adult,26,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_look,18af471b2df8ee0d9bebfe10a8cb0e26_1920x1080,Composite,adult,27,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_hey,2891dff2cf062d2f376a056a63f2d14a_1920x1080,Composite,adult,28,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_look,966b759efeab6ef5a0bf5c3a64e40ec3_1920x1080,Composite,adult,29,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_look,4c3c8c000074fc8d2abf45ced3a9f4c9_1920x1080,Composite,adult,30,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_hey,3e7c0f88da2dac69d55465efcfc00043_1920x1080,Composite,adult,31,gaze_nogaze_gr_ol
ol_sa_modi_nonoise_look,16cff7f75181dc6b16dec0c5cf940d28_1920x1080,Composite,adult,32,gaze_nogaze_gr_ol
ol_dl_pifo_nonoise_look,7dfb1d72597ea3a1e7945e55dd7e7b63_1920x1080,Composite,adult,1,gaze_nogaze_ol_gr
ol_sa_pifo_nonoise_hey,03f438f88a00afd49a48ba8191d6c3b0_1920x1080,Composite,adult,2,gaze_nogaze_ol_gr
ol_dr_pifo_nonoise_hey,bd4b282096c46006d7cec21927e5ba09_1920x1080,Composite,adult,3,gaze_nogaze_ol_gr
ol_sa_pifo_nonoise_look,e8369a5f799f06dd10ee8c1f0a199666_1920x1080,Composite,adult,4,gaze_nogaze_ol_gr
ol_dr_pifo_nonoise_hey,3318a5ebacb086a2213063e8028d4d95_1920x1080,Composite,adult,5,gaze_nogaze_ol_gr
ol_sa_pifo_nonoise_look,ed0d41586730728879a055597a2ec2b8_1920x1080,Composite,adult,6,gaze_nogaze_ol_gr
ol_dl_pifo_nonoise_look,717ba1f627b0d9129668adbb9fabc291_1920x1080,Composite,adult,7,gaze_nogaze_ol_gr
ol_sa_pifo_nonoise_hey,e4ff5bb1293f1b9b84e7def037193bec_1920x1080,Composite,adult,8,gaze_nogaze_ol_gr
ol_dl_toma_nonoise_look,2b81f6dbce406b7ff51d317f15ba07fb_1920x1080,Composite,adult,9,gaze_nogaze_ol_gr
