left_image,right_image,target_image,stimulus,center,stimulus_name,finished?,noun,noun_type,frequency,speaker,gaze,noise_condition,carrier,sentence_onset_sec,sentence_onset_frames,carrier_onset_sec,carrier_onset_frames,noun_onset_sec,noun_onset_frames,noun_offset_sec,noun_offset_frames,sentence_offset_sec,sentence_offset_frames,gaze_onset_sec,gaze_onset_frames,gaze_offset_sec,gaze_offset_frames,trial_onset,trial_offset_sec,trial_offset_frames,gaze_condition,condition_long
chicken,bunny,bunny,002861de030e7390ead4a0a0d68f208c_1920x1080,face,ol_sa_bunny_nonoise_look,yes,bunny,familiar,high,ol,straight_ahead,no_noise,look,3,10,4,22,5,12,5,26,5,26,NA,NA,NA,NA,0,7,26,no_gaze,no_noise_no_gaze
cookie,bottle,bottle,0049c3ae095b69ce4a6fcd1530a88302_1920x1080,face,gr_sa_bottle_nonoise_hey,yes,bottle,familiar,high,gr,straight_ahead,no_noise,hey,3,5,4,8,5,12,5,25,5,25,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
chicken,bunny,bunny,0107c4d9c864f69b90a94af7c6706470_1920x1080,face,ol_sa_bunny_nonoise_hey,yes,bunny,familiar,high,ol,straight_ahead,no_noise,hey,3,18,5,2,6,6,6,19,6,19,NA,NA,NA,NA,0,8,19,no_gaze,no_noise_no_gaze
cookie,bottle,bottle,021d8cd1d0ed36fa69b0cd6e7ad7ed82_1920x1080,face,gr_sa_bottle_nonoise_hey,yes,bottle,familiar,high,gr,straight_ahead,no_noise,hey,3,5,4,8,5,12,5,25,5,25,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
bottle,cookie,bottle,0505469d0e785ddfe120c206f054679f_1920x1080,face,ol_dl_bottle_nonoise_look,yes,bottle,familiar,high,ol,down_left,no_noise,look,3,8,4,22,5,14,6,2,6,2,6,7,8,6,0,10,6,gaze,no_noise_gaze
bunny,chicken,chicken,0603ade15fc750b7c9e73a5ff25dac2a_1920x1080,face,gr_dr_chicken_nonoise_hey,yes,chicken,familiar,high,gr,down_right,no_noise,hey,3,10,4,18,5,23,6,9,6,9,6,25,8,13,0,10,13,gaze,no_noise_gaze
cookie,bottle,cookie,12103acb125d91c327229917c14ded27_1920x1080,face,gr_dl_cookie_nonoise_hey,yes,cookie,familiar,high,gr,down_left,no_noise,hey,3,16,5,0,6,8,6,22,6,22,7,0,9,4,0,11,4,gaze,no_noise_gaze
bottle,cookie,cookie,126445ffe9f823376d52e7e429897cbc_1920x1080,face,gr_sa_cookie_nonoise_look,yes,cookie,familiar,high,gr,straight_ahead,no_noise,look,3,23,5,5,5,26,6,10,6,10,NA,NA,NA,NA,0,8,10,no_gaze,no_noise_no_gaze
boat,juice,juice,145ba85c70fdf13a0ada16035ff2ab0f_1920x1080,face,ol_sa_juice_nonoise_look,yes,juice,familiar,high,ol,straight_ahead,no_noise,look,2,29,4,16,5,8,5,27,5,27,NA,NA,NA,NA,0,7,27,no_gaze,no_noise_no_gaze
chicken,bunny,chicken,15872f0c976630d0a77f4bc79cad61bd_1920x1080,face,ol_dl_chicken_nonoise_look,yes,chicken,familiar,high,ol,down_left,no_noise,look,3,11,5,3,5,26,6,17,6,17,6,23,8,21,0,10,21,gaze,no_noise_gaze
