left_image,right_image,target_image,stimulus,center,stimulus_name,finished?,noun,noun_type,frequency,speaker,gaze,noise_condition,carrier,sentence_onset_sec,sentence_onset_frames,carrier_onset_sec,carrier_onset_frames,noun_onset_sec,noun_onset_frames,noun_offset_sec,noun_offset_frames,sentence_offset_sec,sentence_offset_frames,gaze_onset_sec,gaze_onset_frames,gaze_offset_sec,gaze_offset_frames,trial_onset,trial_offset_sec,trial_offset_frames,gaze_condition,condition_long
bunny,chicken,bunny,00300d53599dc2f3eb8ccddae3f2117b_1920x1080,face,ol_sa_bunny_noise_hey,yes,bunny,familiar,high,ol,straight_ahead,noise,hey,3,18,5,2,6,6,6,19,6,19,NA,NA,NA,NA,0,8,19,no_gaze,noise_no_gaze
bunny,chicken,bunny,01cc626f6c1203312412c16c61c0fdf3_1920x1080,face,gr_dl_bunny_nonoise_hey,yes,bunny,familiar,high,gr,down_left,no_noise,hey,3,16,5,0,6,6,6,16,6,16,6,25,9,9,0,11,9,gaze,no_noise_gaze
ball,shoe,shoe,033a58af47d6ec6d5f9f0447753fbc5a_1920x1080,face,ol_dr_shoe_noise_look,yes,shoe,familiar,high,ol,down_right,noise,look,3,14,5,0,5,19,6,12,6,12,6,13,8,15,0,10,15,gaze,noise_gaze
boat,juice,boat,051a1f6bdeaeb0cd959db3d8a6b52ca7_1920x1080,face,ol_dl_boat_nonoise_look,yes,boat,familiar,high,ol,down_left,no_noise,look,3,17,5,1,5,25,6,12,6,12,6,18,8,9,0,10,9,gaze,no_noise_gaze
boat,juice,boat,06448daf89dddc14990c5d2a87f5d271_1920x1080,face,ol_dl_boat_nonoise_hey,yes,boat,familiar,high,ol,down_left,no_noise,hey,3,12,4,21,5,25,6,9,6,9,6,14,8,11,0,10,11,gaze,no_noise_gaze
bottle,cookie,cookie,07b2c7bea422d53fd9be7d05b73472ad_1920x1080,face,gr_sa_cookie_nonoise_look,yes,cookie,familiar,high,gr,straight_ahead,no_noise,look,3,23,5,5,5,26,6,10,6,10,NA,NA,NA,NA,0,8,10,no_gaze,no_noise_no_gaze
ball,shoe,shoe,08baef39af5a04c574a73090d32aee78_1920x1080,face,gr_dr_shoe_nonoise_hey,yes,shoe,familiar,high,gr,down_right,no_noise,hey,2,29,5,1,6,0,6,19,6,19,6,28,8,24,0,10,24,gaze,no_noise_gaze
ball,shoe,ball,08dc77915012e0c61d761bbc90b75fd3_1920x1080,face,gr_sa_ball_nonoise_hey,yes,ball,familiar,high,gr,straight_ahead,no_noise,hey,3,8,4,20,5,24,6,8,6,8,NA,NA,NA,NA,0,8,8,no_gaze,no_noise_no_gaze
ball,shoe,shoe,09f40ecc8ccb93c365d34c4b3290da12_1920x1080,face,gr_dr_shoe_nonoise_hey,yes,shoe,familiar,high,gr,down_right,no_noise,hey,2,29,5,1,6,0,6,19,6,19,6,28,8,24,0,10,24,gaze,no_noise_gaze
chicken,bunny,chicken,0c4f9fdf8e98826d04e98e9e132f6cd3_1920x1080,face,ol_sa_chicken_nonoise_hey,yes,chicken,familiar,high,ol,straight_ahead,no_noise,hey,3,17,5,3,6,3,6,22,6,22,NA,NA,NA,NA,0,8,22,no_gaze,no_noise_no_gaze
chicken,bunny,bunny,0cac159eaf17332047a6bf8368b56ee2_1920x1080,face,gr_sa_bunny_noise_look,yes,bunny,familiar,high,gr,straight_ahead,noise,look,3,4,4,16,5,10,5,22,5,22,NA,NA,NA,NA,0,7,22,no_gaze,noise_no_gaze
shoe,ball,shoe,0e9e18b07ab292102f3d8d56d4a9f89c_1920x1080,face,gr_sa_shoe_nonoise_look,yes,shoe,familiar,high,gr,straight_ahead,no_noise,look,2,21,4,10,5,2,5,21,5,21,NA,NA,NA,NA,0,7,21,no_gaze,no_noise_no_gaze
ball,shoe,ball,10280d2f41f0018a098919e067a4ab5c_1920x1080,face,ol_sa_ball_noise_hey,yes,ball,familiar,high,ol,straight_ahead,noise,hey,2,25,4,0,5,3,5,19,5,19,NA,NA,NA,NA,0,7,20,no_gaze,noise_no_gaze
boat,juice,boat,10bed8d36aa55ca5e456e8002791129d_1920x1080,face,gr_dl_boat_noise_hey,yes,boat,familiar,high,gr,down_left,noise,hey,3,7,4,21,5,29,6,15,6,15,6,19,9,13,0,11,13,gaze,noise_gaze
chicken,bunny,bunny,121a205836163adbf9a72adae40ea858_1920x1080,face,gr_sa_bunny_nonoise_hey,yes,bunny,familiar,high,gr,straight_ahead,no_noise,hey,3,16,5,0,6,5,6,15,6,15,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
bunny,chicken,chicken,1269411e7c8a2f1c8ee1ef8ac969275c_1920x1080,face,ol_dr_chicken_noise_hey,yes,chicken,familiar,high,ol,down_right,noise,hey,3,28,5,8,6,11,6,29,6,29,7,0,9,4,0,11,4,gaze,noise_gaze
juice,boat,juice,12c6b27647e09a6b2e3d9b11d94ced88_1920x1080,face,gr_sa_juice_nonoise_hey,yes,juice,familiar,high,gr,straight_ahead,no_noise,hey,3,3,4,23,5,26,6,18,6,18,NA,NA,NA,NA,0,8,17,no_gaze,no_noise_no_gaze
juice,boat,boat,130e07f0a0fc546b6dec98974f2d1b64_1920x1080,face,gr_dr_boat_nonoise_look,yes,boat,familiar,high,gr,down_right,no_noise,look,3,11,4,26,5,21,6,2,6,2,6,13,8,11,0,10,11,gaze,no_noise_gaze
juice,boat,juice,134b63f8cbf1ed57cc9c93973c0e4fab_1920x1080,face,ol_dl_juice_noise_hey,yes,juice,familiar,high,ol,down_left,noise,hey,3,18,4,27,5,29,6,21,6,21,6,29,8,22,0,10,22,gaze,noise_gaze
bottle,cookie,cookie,13c82ddffb79e8404d74858c3cd66235_1920x1080,face,gr_dr_cookie_noise_hey,yes,cookie,familiar,high,gr,down_right,noise,hey,3,15,4,29,6,7,6,21,6,21,6,29,9,3,0,11,3,gaze,noise_gaze
bottle,cookie,bottle,140961a740c24cfafd01e0588bab6a4b_1920x1080,face,gr_sa_bottle_nonoise_hey,yes,bottle,familiar,high,gr,straight_ahead,no_noise,hey,3,5,4,8,5,12,5,25,5,25,NA,NA,NA,NA,0,7,25,no_gaze,no_noise_no_gaze
