stimulus_name,stimulus,stimulus_type,order_age,trial_num_exp,order_name
gr_dl_modi_nonoise_hey,212b7ec9c7ae3e655871251224b6aae3_1920x1080,Composite,child,1,gaze_2
gr_dr_pifo_nonoise_look,f03005d6dbdc4878aa30255e4709b156_1920x1080,Composite,child,2,gaze_2
gr_pifo_nonoise_hey_audio,042e9cb5869a11cd7aa7f0e69c5cd769_1920x1080,Composite,child,3,gaze_2
gr_dl_modi_nonoise_look,973c217c50c5e521f98ebeeb8c0756c5_1920x1080,Composite,child,4,gaze_2
gr_dl_pifo_nonoise_look,1f30ed24102e15a38196e1a55ae2edeb_1920x1080,Composite,child,5,gaze_2
gr_pifo_nonoise_hey_audio,d4052ce3a91953b8022f463bc87caced_1920x1080,Composite,child,6,gaze_2
gr_dl_modi_nonoise_hey,5c3c46fd73580eb4c5371bc2ee8fdb35_1920x1080,Composite,child,7,gaze_2
gr_dr_pifo_nonoise_look,5877b8f46265eb0a492ff4ca21d5a548_1920x1080,Composite,child,8,gaze_2
gr_modi_nonoise_hey_audio,e7245e32be42a3d2941275636652825f_1920x1080,Composite,child,9,gaze_2
gr_dr_modi_nonoise_look,113436a89a6bd59f021021f8cf13da83_1920x1080,Composite,child,10,gaze_2
gr_dr_pifo_nonoise_look,653dc8e56667b926d594d85605458cbf_1920x1080,Composite,child,11,gaze_2
gr_pifo_nonoise_hey_audio,3fea9cf01e86666ed31db555bcccfced_1920x1080,Composite,child,12,gaze_2
gr_dl_modi_nonoise_hey,45814440ab8fe824f809bf5eb0be230e_1920x1080,Composite,child,13,gaze_2
gr_dr_pifo_nonoise_look,e1e12b0dfb44617f7db6d6f7757a92aa_1920x1080,Composite,child,14,gaze_2
gr_modi_nonoise_hey_audio,7210317675105509e97e0b5a9cf613ac_1920x1080,Composite,child,15,gaze_2
gr_dl_modi_nonoise_look,4fba5cf3e7b2df713d85dc28e0ac6212_1920x1080,Composite,child,16,gaze_2
gr_dl_pifo_nonoise_look,e6d32c8dcead73118328ff26a69b9074_1920x1080,Composite,child,17,gaze_2
gr_modi_nonoise_hey_audio,244ecdc5f95df9f2aafb1f5190168c50_1920x1080,Composite,child,18,gaze_2
gr_dl_modi_nonoise_hey,3770465183d23e756aad99be015d48c8_1920x1080,Composite,child,19,gaze_2
gr_dr_pifo_nonoise_look,f891b17df10becb666c2524f7b06a547_1920x1080,Composite,child,20,gaze_2
gr_pifo_nonoise_hey_audio,2099b8221aa98d559259ae5fb0383bae_1920x1080,Composite,child,21,gaze_2
gr_dr_modi_nonoise_look,f3ea3c6218a54a60e20e65d9303d17b2_1920x1080,Composite,child,22,gaze_2
gr_dr_pifo_nonoise_look,c265165c8856005bd7ea0986977754df_1920x1080,Composite,child,23,gaze_2
gr_modi_nonoise_hey_audio,3252390907c5e6ad9cba658380c3cf0f_1920x1080,Composite,child,24,gaze_2
gr_sa_toma_nonoise_look,0c679c77f5676827984ffb1466d7bb59_1920x1080,Composite,child,1,sa_1
gr_sa_modi_nonoise_hey,7d2a4454e9234dbb176df8662d7e75d2_1920x1080,Composite,child,2,sa_1
gr_modi_nonoise_look_audio,8a4a1c78bbaf20f7a9bcbf837a35881c_1920x1080,Composite,child,3,sa_1
gr_sa_toma_nonoise_look,5c1da6ce1a3732e02c1bcdfc3d1f847a_1920x1080,Composite,child,4,sa_1
gr_sa_modi_nonoise_hey,52b90118063ef165688b93d951ec6c80_1920x1080,Composite,child,5,sa_1
gr_toma_nonoise_hey_audio,60e6a603d11c804814dd341bc5c0a726_1920x1080,Composite,child,6,sa_1
gr_sa_toma_nonoise_look,928ee3450fd48d13360c55e2f505a833_1920x1080,Composite,child,7,sa_1
gr_sa_modi_nonoise_hey,f966da867f0eaf8d11840fc048b92b27_1920x1080,Composite,child,8,sa_1
gr_toma_nonoise_look_audio,178098fcdbe051169c28b7c5820eb9d0_1920x1080,Composite,child,9,sa_1
gr_sa_toma_nonoise_look,1cf578c3a35e010b3f43dee9e03d982b_1920x1080,Composite,child,10,sa_1
gr_sa_modi_nonoise_hey,4b2f82b0733a75c9773739fbcca21279_1920x1080,Composite,child,11,sa_1
gr_modi_nonoise_hey_audio,8798462f14905bddfd4c828315eb12e8_1920x1080,Composite,child,12,sa_1
gr_sa_toma_nonoise_look,dc29ca02b03e90c4a35c9ab5159ff96b_1920x1080,Composite,child,13,sa_1
gr_sa_modi_nonoise_hey,9711a65d125659a35de65397d54d4975_1920x1080,Composite,child,14,sa_1
gr_toma_nonoise_look_audio,69c9567394e5a1139f996a5d2062cc3b_1920x1080,Composite,child,15,sa_1
gr_sa_toma_nonoise_look,23d9dc7c04fc92a0020526cdbf0a21e2_1920x1080,Composite,child,16,sa_1
gr_sa_modi_nonoise_hey,c03bfed5503a30c4416e5c34d49f9458_1920x1080,Composite,child,17,sa_1
gr_modi_nonoise_hey_audio,66aa7baf68697ef452e779aee3718fad_1920x1080,Composite,child,18,sa_1
