stimulus,stimulus_name,trial_num_exp,learning_block,gaze_block,trial_num_gaze_block,trial_num_learn_block,left_image,right_image,target_word,target_side,distractor_image,target_image,carrier_phrase,gaze_direction,gaze_target,trial_type,gaze_condition,speaker,order_name,order_number,finished?,noun,noun_type,frequency,gaze,noise,carrier,sentence_onset_sec,sentence_onset_frames,carrier_onset_sec,carrier_onset_frames,noun_onset_sec,noun_onset_frames,noun_offset_sec,noun_offset_frames,sentence_offset_sec,sentence_offset_frames,gaze_onset_sec,gaze_onset_frames,gaze_offset_sec,gaze_offset_frames,trial_onset,trial_offset_sec,trial_offset_frames,stimulus_type,order_age
24188a4a8010b56ab8ec7d89ca523c41_1920x1080,gr_sa_bosa_nonoise_hey,1,1,1,1,1,Novel10.jpg,Novel22.jpg,bosa,right,Novel10.jpg,Novel22.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,adult
24188a4a8010b56ab8ec7d89ca523c41_1920x1080,gr_sa_bosa_nonoise_hey,1,1,1,1,1,Novel10.jpg,Novel22.jpg,bosa,right,Novel10.jpg,Novel22.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,child
c0590f8304863a2c62a3a1606860018f_1920x1080,gr_sa_bosa_nonoise_hey,2,1,1,2,1,Novel22.jpg,Novel15.jpg,bosa,left,Novel15.jpg,Novel22.jpg,hey,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,adult
c0590f8304863a2c62a3a1606860018f_1920x1080,gr_sa_bosa_nonoise_hey,2,1,1,2,1,Novel22.jpg,Novel15.jpg,bosa,left,Novel15.jpg,Novel22.jpg,hey,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,child
42118acd7dd4f5ab7d18ace7fd7f4ccf_1920x1080,gr_sa_bosa_nonoise_look,3,1,1,3,2,Novel18.jpg,Novel22.jpg,bosa,right,Novel18.jpg,Novel22.jpg,look,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,adult
42118acd7dd4f5ab7d18ace7fd7f4ccf_1920x1080,gr_sa_bosa_nonoise_look,3,1,1,3,2,Novel18.jpg,Novel22.jpg,bosa,right,Novel18.jpg,Novel22.jpg,look,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,child
4830de28c71d6173462bb53ebf757049_1920x1080,gr_sa_bosa_nonoise_look,4,1,1,4,2,Novel22.jpg,Novel3.jpg,bosa,left,Novel3.jpg,Novel22.jpg,look,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,adult
4830de28c71d6173462bb53ebf757049_1920x1080,gr_sa_bosa_nonoise_look,4,1,1,4,2,Novel22.jpg,Novel3.jpg,bosa,left,Novel3.jpg,Novel22.jpg,look,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,child
7fee44bd1be51d262545ba13c97ad322_1920x1080,gr_sa_bosa_nonoise_hey,5,1,1,5,3,Novel22.jpg,Novel6.jpg,bosa,left,Novel6.jpg,Novel22.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,adult
7fee44bd1be51d262545ba13c97ad322_1920x1080,gr_sa_bosa_nonoise_hey,5,1,1,5,3,Novel22.jpg,Novel6.jpg,bosa,left,Novel6.jpg,Novel22.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,child
4de9452045516e9d50846ef0621f5a29_1920x1080,gr_sa_bosa_nonoise_look,6,1,1,6,3,Novel21.jpg,Novel22.jpg,bosa,right,Novel21.jpg,Novel22.jpg,look,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,adult
4de9452045516e9d50846ef0621f5a29_1920x1080,gr_sa_bosa_nonoise_look,6,1,1,6,3,Novel21.jpg,Novel22.jpg,bosa,right,Novel21.jpg,Novel22.jpg,look,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,child
8b3326790f22defa8b5a0896927dac55_1920x1080,gr_sa_bosa_nonoise_hey,7,1,1,7,4,Novel24.jpg,Novel22.jpg,bosa,right,Novel24.jpg,Novel22.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,adult
8b3326790f22defa8b5a0896927dac55_1920x1080,gr_sa_bosa_nonoise_hey,7,1,1,7,4,Novel24.jpg,Novel22.jpg,bosa,right,Novel24.jpg,Novel22.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,hey,3,3,4,8,5,10,5,27,5,27,NA,NA,NA,NA,0,7,27,Composite,child
a9cf3e31ae4f99e93dbadc2771385730_1920x1080,gr_sa_bosa_nonoise_look,8,1,1,8,4,Novel22.jpg,Novel8.jpg,bosa,left,Novel8.jpg,Novel22.jpg,look,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,adult
a9cf3e31ae4f99e93dbadc2771385730_1920x1080,gr_sa_bosa_nonoise_look,8,1,1,8,4,Novel22.jpg,Novel8.jpg,bosa,left,Novel8.jpg,Novel22.jpg,look,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,bosa,novel,none,straight_ahead,no_noise,look,3,2,4,13,5,5,5,22,5,22,NA,NA,NA,NA,0,7,22,Composite,child
43a216e315e872249692915f6c8855bf_1920x1080,gr_sa_pifo_nonoise_hey,9,2,1,9,1,Novel28.jpg,Novel17.jpg,pifo,right,Novel28.jpg,Novel17.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,pifo,novel,none,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20,Composite,adult
43a216e315e872249692915f6c8855bf_1920x1080,gr_sa_pifo_nonoise_hey,9,2,1,9,1,Novel28.jpg,Novel17.jpg,pifo,right,Novel28.jpg,Novel17.jpg,hey,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,pifo,novel,none,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20,Composite,child
52af4b4cb37baaabf15a649b10d988f3_1920x1080,gr_sa_pifo_nonoise_hey,10,2,1,10,1,Novel17.jpg,Novel20.jpg,pifo,left,Novel20.jpg,Novel17.jpg,hey,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,pifo,novel,none,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20,Composite,adult
52af4b4cb37baaabf15a649b10d988f3_1920x1080,gr_sa_pifo_nonoise_hey,10,2,1,10,1,Novel17.jpg,Novel20.jpg,pifo,left,Novel20.jpg,Novel17.jpg,hey,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,pifo,novel,none,straight_ahead,no_noise,hey,2,27,4,1,5,3,5,20,5,20,NA,NA,NA,NA,0,7,20,Composite,child
385d4a41004a4ec351f3db3fb984828f_1920x1080,gr_sa_pifo_nonoise_look,11,2,1,11,2,Novel4.jpg,Novel17.jpg,pifo,right,Novel4.jpg,Novel17.jpg,look,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,pifo,novel,none,straight_ahead,no_noise,look,3,5,4,11,5,1,5,20,5,20,NA,NA,NA,NA,0,7,20,Composite,adult
385d4a41004a4ec351f3db3fb984828f_1920x1080,gr_sa_pifo_nonoise_look,11,2,1,11,2,Novel4.jpg,Novel17.jpg,pifo,right,Novel4.jpg,Novel17.jpg,look,straight_ahead,NA,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,pifo,novel,none,straight_ahead,no_noise,look,3,5,4,11,5,1,5,20,5,20,NA,NA,NA,NA,0,7,20,Composite,child
3eb94893b2790277f195722daa33953f_1920x1080,gr_sa_pifo_nonoise_look,12,2,1,12,2,Novel17.jpg,Novel12.jpg,pifo,left,Novel12.jpg,Novel17.jpg,look,straight_ahead,NA,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,yes,pifo,novel,none,straight_ahead,no_noise,look,3,5,4,11,5,1,5,20,5,20,NA,NA,NA,NA,0,7,20,Composite,adult
