stimulus,shortname,trial.type,target_object,look,gaze.condition
690956819a259ac0a45c009baedc71ae_1920x1080.avi,roosa,exposure,left,straightahead,nogaze
410c4945670a4fa9412c1b524d6f7090_1920x1080.avi,roosa,test,right,straightahead,nogaze
15a3048f90d39a151bac882457cbe279_1920x1080.avi,wiffle,exposure,right,straightahead,nogaze
185347e933a68c16b15c15f9ce364a89_1920x1080.avi,wiffle,test,right,straightahead,nogaze
fa371d34ac06648c724873f500fbb5d1_1920x1080.avi,deecha,exposure,right,straightahead,nogaze
8e7ba27f65406b77288a5177d42d91ab_1920x1080.avi,deecha,test,left,straightahead,nogaze
1bb83e84866c0cf9ae622b7061798db4_1920x1080.avi,plizet,exposure,left,straightahead,nogaze
8e108e17d2406b5585cda7d0a0c54bfd_1920x1080.avi,plizet,test,right,straightahead,nogaze
1d6e04235a46db2a8737efb02ddb8dd9_1920x1080.avi,fengle,exposure,left,straightahead,nogaze
8df0366be94e726374dce982717eed08_1920x1080.avi,fengle,test,left,straightahead,nogaze
effb3dab8104e980d2c3d326cac3030a_1920x1080.avi,puser,exposure,left,straightahead,nogaze
d8f1f902f36f47c41f994b44494b4d8a_1920x1080.avi,puser,test,left,straightahead,nogaze
1f7cec56bba99a00cb4b07026beff799_1920x1080.avi,suleb,exposure,left,straightahead,nogaze
58adbe29a7df07f53938d22e461c0c98_1920x1080.avi,suleb,test,left,straightahead,nogaze
3426fdc6e62254d9c4e5f577061e704c_1920x1080.avi,benez,exposure,right,straightahead,nogaze
19c60e43174dab29744a0ffc5eb1371e_1920x1080.avi,benez,test,left,straightahead,nogaze
5366483ff630ad98f570484fe54a5c96_1920x1080.avi,loga,exposure,right,straightahead,nogaze
311d2980897f7de2b1b4e82196d6a25f_1920x1080.avi,loga,test,right,straightahead,nogaze
