stimulus_name,trial_num_exp,trial_num_internal,trial_num_learn_block,left_image,right_image,target_word,target_side,distractor_image,target_image,carrier_phrase,gaze_direction,gaze_target,trial_type,gaze_condition,speaker,order_name,order_number
gr_sa_toma_nonoise_look,1,1,1,Novel10.jpg,Novel9.jpg,toma,left,Novel9.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,2,2,1,Novel14.jpg,Novel19.jpg,modi,right,Novel14.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_modi_nonoise_look_audio,3,3,1,Novel10.jpg,Novel19.jpg,modi,right,Novel10.jpg,Novel19.jpg,look,NA,NA,test,straight_ahead,grace,sa_1,1
gr_sa_toma_nonoise_look,4,1,2,Novel10.jpg,Novel25.jpg,toma,left,Novel25.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,5,2,2,Novel2.jpg,Novel19.jpg,modi,right,Novel2.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_toma_nonoise_hey_audio,6,3,2,Novel10.jpg,Novel19.jpg,toma,left,Novel19.jpg,Novel10.jpg,hey,NA,NA,test,straight_ahead,grace,sa_1,1
gr_sa_toma_nonoise_look,7,1,3,Novel10.jpg,Novel18.jpg,toma,left,Novel18.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,8,2,3,Novel26.jpg,Novel19.jpg,modi,right,Novel26.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_toma_nonoise_look_audio,9,3,3,Novel19.jpg,Novel10.jpg,toma,right,Novel19.jpg,Novel10.jpg,look,NA,NA,test,straight_ahead,grace,sa_1,1
gr_sa_toma_nonoise_look,10,1,4,Novel10.jpg,Novel16.jpg,toma,left,Novel16.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,11,2,4,Novel24.jpg,Novel19.jpg,modi,right,Novel24.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_modi_nonoise_hey_audio,12,3,4,Novel19.jpg,Novel10.jpg,modi,left,Novel10.jpg,Novel19.jpg,hey,NA,NA,test,straight_ahead,grace,sa_1,1
gr_sa_toma_nonoise_look,13,1,5,Novel10.jpg,Novel15.jpg,toma,left,Novel15.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,14,2,5,Novel4.jpg,Novel19.jpg,modi,right,Novel4.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_toma_nonoise_look_audio,15,3,5,Novel19.jpg,Novel10.jpg,toma,right,Novel19.jpg,Novel10.jpg,look,NA,NA,test,straight_ahead,grace,sa_1,1
gr_sa_toma_nonoise_look,16,1,6,Novel10.jpg,Novel7.jpg,toma,left,Novel7.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,17,2,6,Novel5.jpg,Novel19.jpg,modi,right,Novel5.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_modi_nonoise_hey_audio,18,3,6,Novel19.jpg,Novel10.jpg,modi,left,Novel10.jpg,Novel19.jpg,hey,NA,NA,test,straight_ahead,grace,sa_1,1
gr_sa_toma_nonoise_look,19,1,7,Novel10.jpg,Novel21.jpg,toma,left,Novel21.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,20,2,7,Novel13.jpg,Novel19.jpg,modi,right,Novel13.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_toma_nonoise_look_audio,21,3,7,Novel19.jpg,Novel10.jpg,toma,right,Novel19.jpg,Novel10.jpg,look,NA,NA,test,straight_ahead,grace,sa_1,1
gr_sa_toma_nonoise_look,22,1,8,Novel10.jpg,Novel20.jpg,toma,left,Novel20.jpg,Novel10.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_sa_modi_nonoise_hey,23,2,8,Novel17.jpg,Novel19.jpg,modi,right,Novel17.jpg,Novel19.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_1,1
gr_modi_nonoise_hey_audio,24,3,8,Novel19.jpg,Novel10.jpg,modi,left,Novel10.jpg,Novel19.jpg,hey,NA,NA,test,straight_ahead,grace,sa_1,1
