stimulus_name,trial_num_exp,trial_num_internal,trial_num_learn_block,left_image,right_image,target_word,target_side,distractor_image,target_image,carrier_phrase,gaze_direction,gaze_target,trial_type,gaze_condition,speaker,order_name,order_number
gr_sa_pifo_nonoise_look,1,1,1,Novel25.jpg,Novel16.jpg,pifo,right,Novel25.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,2,2,1,Novel5.jpg,Novel21.jpg,bosa,left,Novel21.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_pifo_nonoise_hey_audio,3,3,1,Novel5.jpg,Novel16.jpg,pifo,right,Novel5.jpg,Novel16.jpg,hey,NA,NA,test,straight_ahead,grace,sa_2,2
gr_sa_pifo_nonoise_look,4,1,2,Novel2.jpg,Novel16.jpg,pifo,right,Novel2.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,5,2,2,Novel5.jpg,Novel19.jpg,bosa,left,Novel19.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_bosa_nonoise_look_audio,6,3,2,Novel5.jpg,Novel16.jpg,bosa,left,Novel16.jpg,Novel5.jpg,look,NA,NA,test,straight_ahead,grace,sa_2,2
gr_sa_pifo_nonoise_look,7,1,3,Novel8.jpg,Novel16.jpg,pifo,right,Novel8.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,8,2,3,Novel5.jpg,Novel17.jpg,bosa,left,Novel17.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_bosa_nonoise_hey_audio,9,3,3,Novel16.jpg,Novel5.jpg,bosa,right,Novel16.jpg,Novel5.jpg,hey,NA,NA,test,straight_ahead,grace,sa_2,2
gr_sa_pifo_nonoise_look,10,1,4,Novel15.jpg,Novel16.jpg,pifo,right,Novel15.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,11,2,4,Novel5.jpg,Novel3.jpg,bosa,left,Novel3.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_pifo_nonoise_look_audio,12,3,4,Novel16.jpg,Novel5.jpg,pifo,left,Novel5.jpg,Novel16.jpg,look,NA,NA,test,straight_ahead,grace,sa_2,2
gr_sa_pifo_nonoise_look,13,1,5,Novel11.jpg,Novel16.jpg,pifo,right,Novel11.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,14,2,5,Novel5.jpg,Novel23.jpg,bosa,left,Novel23.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_pifo_nonoise_hey_audio,15,3,5,Novel5.jpg,Novel16.jpg,pifo,right,Novel5.jpg,Novel16.jpg,hey,NA,NA,test,straight_ahead,grace,sa_2,2
gr_sa_pifo_nonoise_look,16,1,6,Novel26.jpg,Novel16.jpg,pifo,right,Novel26.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,17,2,6,Novel5.jpg,Novel4.jpg,bosa,left,Novel4.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_bosa_nonoise_look_audio,18,3,6,Novel5.jpg,Novel16.jpg,bosa,left,Novel16.jpg,Novel5.jpg,look,NA,NA,test,straight_ahead,grace,sa_2,2
gr_sa_pifo_nonoise_look,19,1,7,Novel7.jpg,Novel16.jpg,pifo,right,Novel7.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,20,2,7,Novel5.jpg,Novel24.jpg,bosa,left,Novel24.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_pifo_nonoise_hey_audio,21,3,7,Novel5.jpg,Novel16.jpg,pifo,right,Novel5.jpg,Novel16.jpg,hey,NA,NA,test,straight_ahead,grace,sa_2,2
gr_sa_pifo_nonoise_look,22,1,8,Novel6.jpg,Novel16.jpg,pifo,right,Novel6.jpg,Novel16.jpg,look,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_sa_bosa_nonoise_hey,23,2,8,Novel5.jpg,Novel13.jpg,bosa,left,Novel13.jpg,Novel5.jpg,hey,NA,NA,exposure,straight_ahead,grace,sa_2,2
gr_bosa_nonoise_look_audio,24,3,8,Novel5.jpg,Novel16.jpg,bosa,left,Novel16.jpg,Novel5.jpg,look,NA,NA,test,straight_ahead,grace,sa_2,2
