stimulus_name,trial_num_exp,trial_num_internal,trial_num_learn_block,left_image,right_image,target_word,target_side,distractor_image,target_image,carrier_phrase,gaze_direction,gaze_target,trial_type,gaze_condition,speaker,order_name,order_number
gr_dl_modi_nonoise_hey,1,1,1,Novel25.jpg,Novel3.jpg,modi,left,Novel3.jpg,Novel25.jpg,hey,left,modi,exposure,gaze,grace,gaze_1,3
gr_dr_pifo_nonoise_look,2,2,1,Novel9.jpg,Novel7.jpg,pifo,right,Novel9.jpg,Novel7.jpg,look,right,pifo,exposure,gaze,grace,gaze_1,3
gr_pifo_nonoise_hey_audio,3,3,1,Novel25.jpg,Novel7.jpg,pifo,right,Novel25.jpg,Novel7.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
gr_dl_modi_nonoise_look,4,1,2,Novel25.jpg,Novel21.jpg,modi,left,Novel21.jpg,Novel25.jpg,look,left,modi,exposure,gaze,grace,gaze_1,3
gr_dl_pifo_nonoise_look,5,2,2,Novel7.jpg,Novel13.jpg,pifo,left,Novel13.jpg,Novel7.jpg,look,left,pifo,exposure,gaze,grace,gaze_1,3
gr_pifo_nonoise_hey_audio,6,3,2,Novel25.jpg,Novel7.jpg,pifo,right,Novel25.jpg,Novel7.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
gr_dl_modi_nonoise_hey,7,1,3,Novel25.jpg,Novel23.jpg,modi,left,Novel23.jpg,Novel25.jpg,hey,left,modi,exposure,gaze,grace,gaze_1,3
gr_dr_pifo_nonoise_look,8,2,3,Novel22.jpg,Novel7.jpg,pifo,right,Novel22.jpg,Novel7.jpg,look,right,pifo,exposure,gaze,grace,gaze_1,3
gr_modi_nonoise_hey_audio,9,3,3,Novel25.jpg,Novel7.jpg,modi,left,Novel7.jpg,Novel25.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
gr_dr_modi_nonoise_look,10,1,4,Novel5.jpg,Novel25.jpg,modi,right,Novel5.jpg,Novel25.jpg,look,right,modi,exposure,gaze,grace,gaze_1,3
gr_dr_pifo_nonoise_look,11,2,4,Novel27.jpg,Novel7.jpg,pifo,right,Novel27.jpg,Novel7.jpg,look,right,pifo,exposure,gaze,grace,gaze_1,3
gr_pifo_nonoise_hey_audio,12,3,4,Novel7.jpg,Novel25.jpg,pifo,left,Novel25.jpg,Novel7.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
gr_dl_modi_nonoise_hey,13,1,5,Novel25.jpg,Novel19.jpg,modi,left,Novel19.jpg,Novel25.jpg,hey,left,modi,exposure,gaze,grace,gaze_1,3
gr_dr_pifo_nonoise_look,14,2,5,Novel6.jpg,Novel7.jpg,pifo,right,Novel6.jpg,Novel7.jpg,look,right,pifo,exposure,gaze,grace,gaze_1,3
gr_modi_nonoise_hey_audio,15,3,5,Novel7.jpg,Novel25.jpg,modi,right,Novel7.jpg,Novel25.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
gr_dl_modi_nonoise_look,16,1,6,Novel25.jpg,Novel24.jpg,modi,left,Novel24.jpg,Novel25.jpg,look,left,modi,exposure,gaze,grace,gaze_1,3
gr_dl_pifo_nonoise_look,17,2,6,Novel7.jpg,Novel16.jpg,pifo,left,Novel16.jpg,Novel7.jpg,look,left,pifo,exposure,gaze,grace,gaze_1,3
gr_modi_nonoise_hey_audio,18,3,6,Novel7.jpg,Novel25.jpg,modi,right,Novel7.jpg,Novel25.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
gr_dl_modi_nonoise_hey,19,1,7,Novel25.jpg,Novel1.jpg,modi,left,Novel1.jpg,Novel25.jpg,hey,left,modi,exposure,gaze,grace,gaze_1,3
gr_dr_pifo_nonoise_look,20,2,7,Novel8.jpg,Novel7.jpg,pifo,right,Novel8.jpg,Novel7.jpg,look,right,pifo,exposure,gaze,grace,gaze_1,3
gr_pifo_nonoise_hey_audio,21,3,7,Novel7.jpg,Novel25.jpg,pifo,left,Novel25.jpg,Novel7.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
gr_dr_modi_nonoise_look,22,1,8,Novel17.jpg,Novel25.jpg,modi,right,Novel17.jpg,Novel25.jpg,look,right,modi,exposure,gaze,grace,gaze_1,3
gr_dr_pifo_nonoise_look,23,2,8,Novel28.jpg,Novel7.jpg,pifo,right,Novel28.jpg,Novel7.jpg,look,right,pifo,exposure,gaze,grace,gaze_1,3
gr_modi_nonoise_hey_audio,24,3,8,Novel25.jpg,Novel7.jpg,modi,left,Novel7.jpg,Novel25.jpg,hey,NA,NA,test,gaze,grace,gaze_1,3
