time_ms_normalized,gaze_condition,trial_type,age_category,target_looking,m,n
0,gaze,exposure,children,center,0.7244824016563147,46
0,gaze,exposure,children,distracter,0.11809006211180124,46
0,gaze,exposure,children,target,0.15742753623188405,46
0,gaze,exposure,adults,center,0.7950738916256158,29
0,gaze,exposure,adults,distracter,0.08017241379310344,29
0,gaze,exposure,adults,target,0.12475369458128079,29
0,gaze,test,children,center,0.7389682539682539,45
0,gaze,test,children,distracter,0.18537037037037038,45
0,gaze,test,children,target,0.07566137566137567,45
0,gaze,test,adults,center,0.8183497536945813,29
0,gaze,test,adults,distracter,0.03366174055829228,29
0,gaze,test,adults,target,0.14798850574712644,29
0,straight_ahead,exposure,children,center,0.6784701114488348,47
0,straight_ahead,exposure,children,distracter,0.18903242147923,47
0,straight_ahead,exposure,children,target,0.13249746707193516,47
0,straight_ahead,exposure,adults,center,0.6986904761904762,30
0,straight_ahead,exposure,adults,distracter,0.05261904761904762,30
0,straight_ahead,exposure,adults,target,0.24869047619047618,30
0,straight_ahead,test,children,center,0.7077001013171226,47
0,straight_ahead,test,children,distracter,0.15663627152988854,47
0,straight_ahead,test,children,target,0.13566362715298885,47
0,straight_ahead,test,adults,center,0.728531746031746,30
0,straight_ahead,test,adults,distracter,0.05388888888888889,30
0,straight_ahead,test,adults,target,0.21757936507936507,30
33,gaze,exposure,children,center,0.7371376811594202,46
33,gaze,exposure,children,distracter,0.1129399585921325,46
33,gaze,exposure,children,target,0.1499223602484472,46
33,gaze,exposure,adults,center,0.7953612479474549,29
33,gaze,exposure,adults,distracter,0.08025451559934318,29
33,gaze,exposure,adults,target,0.12438423645320197,29
33,gaze,test,children,center,0.7324603174603175,45
33,gaze,test,children,distracter,0.18777777777777777,45
33,gaze,test,children,target,0.07976190476190476,45
33,gaze,test,adults,center,0.8171182266009852,29
33,gaze,test,adults,distracter,0.03797208538587849,29
33,gaze,test,adults,target,0.14490968801313628,29
33,straight_ahead,exposure,children,center,0.6826494427558257,47
33,straight_ahead,exposure,children,distracter,0.18637284701114487,47
33,straight_ahead,exposure,children,target,0.13097771023302937,47
33,straight_ahead,exposure,adults,center,0.7117063492063492,30
33,straight_ahead,exposure,adults,distracter,0.04484126984126984,30
33,straight_ahead,exposure,adults,target,0.24345238095238095,30
33,straight_ahead,test,children,center,0.7121073961499493,47
33,straight_ahead,test,children,distracter,0.15868794326241134,47
33,straight_ahead,test,children,target,0.1292046605876393,47
33,straight_ahead,test,adults,center,0.7138888888888889,30
33,straight_ahead,test,adults,distracter,0.0498015873015873,30
33,straight_ahead,test,adults,target,0.2363095238095238,30
66,gaze,exposure,children,center,0.7243271221532092,46
66,gaze,exposure,children,distracter,0.12256728778467908,46
66,gaze,exposure,children,target,0.1531055900621118,46
66,gaze,exposure,adults,center,0.8076765188834154,29
66,gaze,exposure,adults,distracter,0.06670771756978654,29
66,gaze,exposure,adults,target,0.12561576354679804,29
66,gaze,test,children,center,0.7238888888888889,45
66,gaze,test,children,distracter,0.18515873015873016,45
66,gaze,test,children,target,0.09095238095238095,45
66,gaze,test,adults,center,0.8273809523809523,29
66,gaze,test,adults,distracter,0.03366174055829228,29
66,gaze,test,adults,target,0.13895730706075535,29
66,straight_ahead,exposure,children,center,0.6841691995947315,47
66,straight_ahead,exposure,children,distracter,0.1814336372847011,47
66,straight_ahead,exposure,children,target,0.13439716312056738,47
66,straight_ahead,exposure,adults,center,0.7114285714285714,30
66,straight_ahead,exposure,adults,distracter,0.04880952380952381,30
66,straight_ahead,exposure,adults,target,0.23976190476190476,30
66,straight_ahead,test,children,center,0.7110182370820669,47
66,straight_ahead,test,children,distracter,0.16534954407294833,47
