subid,age_category,age_years,age_days,stimulus_name,trial_num_exp,learning_block,gaze_block,trial_num_gaze_block,trial_num_learn_block,noun,trial_type,gaze_condition,speaker,order_name,order_number,gaze,testing_date,birth_date,age,gender,ethnicity_race,experimenter,order_key,keep_drop,reason_excluded,block_excluded,comments,rt,shift_type,shift_accuracy,age_group,shift_start_location
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_hey,1,1,1,1,1,bosa,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.4666666666666667,D_T,correct,5,not_center
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_hey,2,1,1,2,1,bosa,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",1.2333333333333334,T_D,incorrect,5,not_center
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_look,3,1,1,3,2,bosa,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.2,C_T,correct,5,center
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_look,4,1,1,4,2,bosa,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.26666666666666666,C_T,correct,5,center
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_hey,5,1,1,5,3,bosa,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.4666666666666667,C_T,correct,5,center
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_look,6,1,1,6,3,bosa,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.1,T_C,incorrect,5,not_center
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_hey,7,1,1,7,4,bosa,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.36666666666666664,D_T,correct,5,not_center
SAN-071218-02,child,5.033,1838,gr_sa_bosa_nonoise_look,8,1,1,8,4,bosa,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.6,C_T,correct,5,center
SAN-071218-02,child,5.033,1838,gr_sa_pifo_nonoise_hey,9,2,1,9,1,pifo,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.7,D_C,incorrect,5,not_center
SAN-071218-02,child,5.033,1838,gr_sa_pifo_nonoise_hey,10,2,1,10,1,pifo,test,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.23333333333333334,D_T,correct,5,not_center
SAN-071218-02,child,5.033,1838,gr_sa_pifo_nonoise_look,11,2,1,11,2,pifo,exposure,straight_ahead,grace,nogaze_gaze_gr_ol,1,straight_ahead,2018-07-12T00:00:00Z,2013-06-30T00:00:00Z,5.033,M,ME,ES,nogaze_gaze_gr_ol,drop,pilot,none,"NA",0.03333333333333333,T_C,incorrect,5,not_center
