subid,trial_num_full,trial_num,trial_type,ss_looking_char,look,correct,count_looks,total_looks,prop_looking,m_correct,m_gaze_follow,num_shifts,rt,shift_start,shift_end,shift_correct,shift_type,condition
020816_01,11_test,11,test,right,NA,NA,0,114,0,1,0,1,3.833,left,face,FALSE,image_away,gaze
020816_01,12_exposure,12,exposure,face,right,FALSE,52,84,0.62,0.38,0.62,3,0.567,left,right,FALSE,image_away,gaze
020816_01,12_exposure,12,exposure,left,right,TRUE,12,84,0.14,0.38,0.62,3,0.567,left,right,FALSE,image_away,gaze
020816_01,12_exposure,12,exposure,right,right,FALSE,20,84,0.24,0.38,0.62,3,0.567,left,right,FALSE,image_away,gaze
020816_01,12_test,12,test,face,straightahead,FALSE,74,96,0.77,0.14,0,3,0.567,left,right,TRUE,image_away,gaze
020816_01,12_test,12,test,left,straightahead,FALSE,19,96,0.2,0.14,0,3,0.567,left,right,TRUE,image_away,gaze
020816_01,12_test,12,test,right,straightahead,TRUE,3,96,0.03,0.14,0,3,0.567,left,right,TRUE,image_away,gaze
020816_01,13_exposure,13,exposure,face,left,FALSE,45,103,0.44,0.28,0.72,4,0.3,face,left,FALSE,face_distracter,gaze
020816_01,13_exposure,13,exposure,left,left,FALSE,42,103,0.41,0.28,0.72,4,0.3,face,left,FALSE,face_distracter,gaze
020816_01,13_exposure,13,exposure,right,left,TRUE,16,103,0.16,0.28,0.72,4,0.3,face,left,FALSE,face_distracter,gaze
020816_01,13_test,13,test,face,straightahead,FALSE,91,106,0.86,0.47,0,2,0.5,left,right,FALSE,image_away,gaze
020816_01,13_test,13,test,left,straightahead,TRUE,7,106,0.07,0.47,0,2,0.5,left,right,FALSE,image_away,gaze
020816_01,13_test,13,test,right,straightahead,FALSE,8,106,0.08,0.47,0,2,0.5,left,right,FALSE,image_away,gaze
020816_01,14_exposure,14,exposure,face,right,FALSE,40,105,0.38,0.57,0.57,6,0.233,face,left,FALSE,face_distracter,gaze
020816_01,14_exposure,14,exposure,left,right,FALSE,28,105,0.27,0.57,0.57,6,0.233,face,left,FALSE,face_distracter,gaze
020816_01,14_exposure,14,exposure,right,right,TRUE,37,105,0.35,0.57,0.57,6,0.233,face,left,FALSE,face_distracter,gaze
020816_01,14_test,14,test,face,straightahead,FALSE,11,108,0.1,0.92,0,2,0.267,left,right,TRUE,image_away,gaze
020816_01,14_test,14,test,left,straightahead,FALSE,8,108,0.07,0.92,0,2,0.267,left,right,TRUE,image_away,gaze
020816_01,14_test,14,test,right,straightahead,TRUE,89,108,0.82,0.92,0,2,0.267,left,right,TRUE,image_away,gaze
020816_01,15_exposure,15,exposure,face,left,FALSE,84,111,0.76,0.41,0.59,2,0.567,right,left,FALSE,target_distracter,gaze
020816_01,15_exposure,15,exposure,left,left,FALSE,16,111,0.14,0.41,0.59,2,0.567,right,left,FALSE,target_distracter,gaze
020816_01,15_exposure,15,exposure,right,left,TRUE,11,111,0.1,0.41,0.59,2,0.567,right,left,FALSE,target_distracter,gaze
020816_01,15_test,15,test,face,straightahead,FALSE,89,106,0.84,0.65,0,4,0.467,left,right,TRUE,image_away,gaze
020816_01,15_test,15,test,left,straightahead,FALSE,6,106,0.06,0.65,0,4,0.467,left,right,TRUE,image_away,gaze
020816_01,15_test,15,test,right,straightahead,TRUE,11,106,0.1,0.65,0,4,0.467,left,right,TRUE,image_away,gaze
020816_01,16_exposure,16,exposure,face,left,FALSE,62,112,0.55,0,1,2,0.867,face,left,FALSE,face_distracter,gaze
020816_01,16_exposure,16,exposure,left,left,FALSE,50,112,0.45,0,1,2,0.867,face,left,FALSE,face_distracter,gaze
020816_01,16_exposure,16,exposure,right,NA,NA,0,112,0,0,1,2,0.867,face,left,FALSE,face_distracter,gaze
020816_01,16_test,16,test,face,straightahead,FALSE,88,114,0.77,0.38,0,4,0.2,face,left,FALSE,face_distracter,gaze
020816_01,16_test,16,test,left,straightahead,FALSE,16,114,0.14,0.38,0,4,0.2,face,left,FALSE,face_distracter,gaze
020816_01,16_test,16,test,right,straightahead,TRUE,10,114,0.09,0.38,0,4,0.2,face,left,FALSE,face_distracter,gaze
020816_01,2_exposure,2,exposure,face,right,FALSE,44,106,0.42,0.29,0.71,4,0.567,left,right,FALSE,image_away,gaze
